,Player_Id,Player_Name,,2Pt,3Pt,Attribute
1,2594,Kyle Korver,,44.3,42.9,43.6
2,200794,Paul Millsap,,49.1,33.4,41.25
3,201143,Al Horford,,52.5,36.8,44.65
4,201952,Jeff Teague,,44.5,35.6,40.05
5,203145,Kent Bazemore,,41.9,35.2,38.55
6,101141,Ersan Ilyasova,,44.3,36.5,40.4
7,202704,Reggie Jackson,,42.9,33.3,38.1
8,202694,Marcus Morris,,43.1,36,39.55
9,203484,Kentavious Caldwell-Pope,,41.2,34.5,37.85
10,203083,Andre Drummond,,54.3,14.7,34.5
11,200757,Thabo Sefolosha,,45,35.2,40.1
12,201168,Tiago Splitter,,55.5,14.3,34.9
13,203934,Lamar Patterson,,32.6,23.6,28.1
14,203471,Dennis Schroder,,43,32.5,37.75
15,1626169,Stanley Johnson,,51.5,20,35.75
16,2581,Steve Blake,,40.1,38.3,39.2
17,203382,Aron Baynes,,49.8,28.1,38.95
18,203488,Mike Muscala,,46.8,36.5,41.65
19,201975,Jodie Meeks,,42,37.3,39.65
20,203118,Mike Scott,,46.4,36.4,41.4
